model,compressor,refrigerant,ambient,btuh_35,btuh,cond_temp,voltage,required_addon1,required_addon2,required_addon3,required_addon4,notes
M6JM-H020-IAA-177,ASE12C4E,R448,90,2160,2350,114,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H020-IAA-177,ASE12C4E,R448,100,1990,2180,123,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H020-IAA-177,ASE12C4E,R448,110,1780,1940,132,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H020-IAA-177,ASE12C4E,R404,90,2250,2440,110,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H020-IAA-177,ASE12C4E,R404,100,2000,2160,120,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H020-IAA-177,ASE12C4E,R404,110,1760,1900,129,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H020-IAA-177,ASE12C4E,R407C,90,2180,2400,109,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H020-IAA-177,ASE12C4E,R407C,100,1980,2170,117,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H020-IAA-177,ASE12C4E,R407C,110,1800,1980,126,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H023-IAA-177,ASE14C4E,R448,90,2530,2760,118,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H023-IAA-177,ASE14C4E,R448,100,2300,2500,126,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H023-IAA-177,ASE14C4E,R448,110,2110,2300,135,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H023-IAA-177,ASE14C4E,R404,90,2580,2780,110,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H023-IAA-177,ASE14C4E,R404,100,2310,2490,124,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6JM-H023-IAA-177,ASE14C4E,R404,110,2040,2200,132,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0025-IAV-177,ASE20C4E,R448,90,3300,3590,117,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0025-IAV-177,ASE20C4E,R448,100,2960,3210,126,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0025-IAV-177,ASE20C4E,R448,110,2640,2860,134,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0025-IAV-177,ASE20C4E,R404,90,3450,3720,112,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0025-IAV-177,ASE20C4E,R404,100,3060,3290,120,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
