model,style,refrigerant,btuh,btuh_10td,required_addon1,required_addon2,required_addon3,notes
HS-25EC,DUCTED HORIZ,R22,2117,1245,Temp Control,,,
HS-25EC,DUCTED HORIZ,R134,2023,1190,Temp Control,,,
HS-25EC,DUCTED HORIZ,R404,2087,1228,Temp Control,,,
HS-25EC,DUCTED HORIZ,R448,2172,1278,Temp Control,,,
HS-31EC,DUCTED HORIZ,R22,4793,2819,Temp Control,,,
HS-31EC,DUCTED HORIZ,R134,4471,2630,Temp Control,,,
HS-31EC,DUCTED HORIZ,R404,4579,2694,Temp Control,,,
HS-31EC,DUCTED HORIZ,R448,4497,2645,Temp Control,,,
HS-47EC,DUCTED HORIZ,R22,7635,4491,Temp Control,,,
HS-47EC,DUCTED HORIZ,R134,6915,4068,Temp Control,,,
HS-47EC,DUCTED HORIZ,R404,7389,4346,Temp Control,,,
HS-47EC,DUCTED HORIZ,R448,7616,4480,Temp Control,,,
HS-66EC,DUCTED HORIZ,R22,8666,5098,Temp Control,,,
HS-66EC,DUCTED HORIZ,R134,8080,4753,Temp Control,,,
HS-66EC,DUCTED HORIZ,R404,8476,4986,Temp Control,,,
HS-66EC,DUCTED HORIZ,R448,8642,5084,Temp Control,,,
HS-87EC,DUCTED HORIZ,R22,12310,7241,Temp Control,,,
HS-87EC,DUCTED HORIZ,R134,11840,6965,Temp Control,,,
HS-87EC,DUCTED HORIZ,R404,11900,7000,Temp Control,,,
HS-87EC,DUCTED HORIZ,R448,12288,7228,Temp Control,,,
HS-120EC,DUCTED HORIZ,R22,19820,11659,Temp Control,,,
HS-120EC,DUCTED HORIZ,R134,18624,10955,Temp Control,,,
HS-120EC,DUCTED HORIZ,R404,19327,11369,Temp Control,,,
HS-120EC,DUCTED HORIZ,R448,19760,11624,Temp Control,,,
HS-180EC,DUCTED HORIZ,R22,26690,15700,Temp Control,,,
HS-180EC,DUCTED HORIZ,R134,26490,15582,Temp Control,,,
HS-180EC,DUCTED HORIZ,R404,27967,16451,Temp Control,,,
HS-180EC,DUCTED HORIZ,R448,27133,15961,Temp Control,,,
HS-25CL W EC,DUCTED HORIZ,R22,2117,1245,Temp Control,,,
HS-25CL W EC,DUCTED HORIZ,R134,2023,1190,Temp Control,,,
HS-25CL W EC,DUCTED HORIZ,R404,2087,1228,Temp Control,,,
HS-25CL W EC,DUCTED HORIZ,R448,2172,1278,Temp Control,,,
HS-31CL W EC,DUCTED HORIZ,R22,4793,2819,Temp Control,,,
HS-31CL W EC,DUCTED HORIZ,R134,4471,2630,Temp Control,,,
